local_path,image_type,is_manual
output/images/25692964493705392_0.jpg,noodles,true
output/images/25692964493705392_1.jpg,storefront,true
output/images/25683304088004766_0.jpg,other,true
output/images/25674124882256020_0.jpg,noodles,true
output/images/25674124882256020_1.jpg,storefront,true
output/images/25674116128923562_0.jpg,noodles,true
output/images/25674116128923562_1.jpg,storefront,true
output/images/25668561529479022_0.jpg,noodles,true
output/images/25668561529479022_1.jpg,noodles,true
output/images/25667841032884405_0.jpg,noodles,true
output/images/25667257852942723_0.jpg,storefront,true
output/images/25667257852942723_1.jpg,storefront,true
output/images/25667257852942723_2.jpg,storefront,true
output/images/25667257852942723_3.jpg,noodles,true
output/images/25667257852942723_4.jpg,noodles,true
output/images/25666587343009774_0.jpg,storefront,true
output/images/25666587343009774_1.jpg,other,true
output/images/25666587343009774_2.jpg,noodles,true
output/images/25665992159735959_0.jpg,noodles,true
output/images/25665992159735959_1.jpg,noodles,true
output/images/25665992159735959_2.jpg,noodles,true
output/images/25665992159735959_3.jpg,noodles,true
output/images/25665342559800919_0.jpg,noodles,true
output/images/25659816250353550_0.jpg,storefront,true
output/images/25659816250353550_1.jpg,noodles,true
output/images/25658427543825754_0.jpg,storefront,true
output/images/25658281947173647_0.jpg,noodles,true
output/images/25658059667195875_0.jpg,noodles,true
output/images/25658059667195875_1.jpg,other,true
output/images/25658059667195875_2.jpg,other,true
output/images/25658057537196088_0.jpg,storefront,true
output/images/25658057537196088_1.jpg,noodles,true
output/images/25654305040904671_0.jpg,noodles,true
output/images/25656102817391560_0.jpg,noodles,true
output/images/25656102817391560_1.jpg,noodles,true
output/images/25656102817391560_2.jpg,noodles,true
output/images/25656102817391560_3.jpg,noodles,true
output/images/25646780738323768_0.jpg,other,true
output/images/25646780738323768_1.jpg,noodles,true
output/images/25646780738323768_2.jpg,noodles,true
output/images/25646780738323768_3.jpg,noodles,true
output/images/25646780738323768_4.jpg,other,true
output/images/25646092521725923_0.jpg,noodles,true
output/images/25646092521725923_1.jpg,storefront,true
output/images/25646092521725923_2.jpg,noodles,true
output/images/25646092521725923_3.jpg,storefront,true
output/images/25646092521725923_4.jpg,other,true
output/images/25639813585687150_0.jpg,noodles,true
output/images/25639550839046758_0.jpg,noodles,true
output/images/25639550839046758_1.jpg,storefront,true
output/images/25638440129157829_0.jpg,noodles,true
output/images/25638440129157829_1.jpg,storefront,true
output/images/25638440129157829_2.jpg,other,true
output/images/25636549492680226_0.jpg,other,true
output/images/25636549492680226_1.jpg,other,true
output/images/25636448856023623_0.jpg,noodles,true
output/images/25636448856023623_1.jpg,noodles,true
output/images/25636448856023623_2.jpg,noodles,true
output/images/25636448856023623_3.jpg,noodles,true
output/images/25631681556500353_0.jpg,noodles,true
output/images/25631681556500353_1.jpg,other,true
output/images/25630458356622673_0.jpg,noodles,true
output/images/25627837740218068_0.jpg,storefront,true
output/images/25627837740218068_1.jpg,noodles,true
output/images/25627837740218068_2.jpg,noodles,true
output/images/25627837740218068_3.jpg,noodles,true
output/images/25623924240609418_0.jpg,noodles,true
output/images/25623924240609418_1.jpg,noodles,true
output/images/25623924240609418_2.jpg,noodles,true
output/images/25621958374139338_0.jpg,storefront,true
output/images/25621958374139338_1.jpg,noodles,true
output/images/25621958374139338_2.jpg,noodles,true
output/images/25621958374139338_3.jpg,other,true
output/images/25621814000820442_0.jpg,storefront,true
output/images/25621814000820442_1.jpg,storefront,true
output/images/25621814000820442_2.jpg,storefront,true
output/images/25621814000820442_3.jpg,storefront,true
output/images/25621814000820442_4.jpg,storefront,true
output/images/25621344990867343_0.jpg,storefront,true
output/images/25620768297591679_0.jpg,noodles,true
output/images/25620768297591679_1.jpg,storefront,true
output/images/25620157537652755_0.jpg,noodles,true
output/images/25620157537652755_1.jpg,noodles,true
output/images/25620157537652755_2.jpg,noodles,true
